GARE;CODE_DEP;CODE_INSEE;CODE_UIC;CODE_POSTAL;LONG;LAT; NB_VOY_2022 ; NB_VOY_2021 ; NB_VOY_2020 ; NB_VOY_2019 ; NB_VOY_2018 ; NB_VOY_2017 ; NB_VOY_2016 ; NB_VOY_2015 ;POP_2023;POP_2019;POP_2013;NB_FOYER_2020;NB_FOYER_2020_REV_0_10000;NB_FOYER_2020_REV_10000_12000;NB_FOYER_2020_REV_12001_15000;NB_FOYER_2020_REV_15001_20000;NB_FOYER_2020_REV_20001_30000;NB_FOYER_2020_REV_30001_50000;NB_FOYER_2020_REV_50001_100000;NB_FOYER_2020_REV_PLUS_100001;REV_MED_2020;PIMP_2020;TP_2020;LOG_2019;RP_2019;RS_2019;LOGVAC_2019;EMPLT_2019;EMPLT_2013;POP_1564_2019;CHOMEUR_1564_2019;POP_ACT_1564_2019;SUPERF;NB_TRANS_2017;NB_TRANS_2018;NB_TRANS_2019;NB_TRANS_2020;NB_TRANS_2021;NB_TRANS_2022;PXMED_2017;PXMED_2018;PXMED_2019;PXMED_2020;PXMED_2021;PXMED_2022;DepT TN_2017;DepT TN_2018;DepT TN_2019;DepT TN_2020;DepT TN_2021;DepT TN_2022;DepT TGV_2017;DepT TGV_2018;DepT TGV_2019;DepT TGV_2020;DepT TGV_2021;DepT TGV_2022;DepT TER_2017;DepT TER_2018;DepT TER_2019;DepT TER_2020;DepT TER_2021;DepT TER_2022;DepT INTERCITES_2017;DepT INTERCITES_2018;DepT INTERCITES_2019;DepT INTERCITES_2020;DepT INTERCITES_2021;DepT INTERCITES_2022
Ambérieu-en-Bugey;1;1004;87743716;1500;5.342388;45.954008; 1 334 530 ; 1 043 483 ; 838 327 ; 1 254 920 ; 1 168 627 ; 1 223 516 ; 1 188 233 ; 1 195 489 ;14662;14134;14359;8 986;1 876;524;920;1 657;1 666;1 511;725;107;21070;48;17;7452.83556296103;6606.34657500212;123.880736041249;722.608251917661;7903.2209433747;7554.03747405362;9019.23873118037;1018.94684493004;6900.48615158507;24.6;49;92;102;98;76;9;1849;1855;1963;1844;2159;2421;0;0;0;0;0;0;0;0;0;0;0;0;21577;19611;20295;17845;22902;21262;0;0;0;0;0;0
Ambronay - Priay;1;1007;87743146;1500;5.3382579;46.0115941; 8 271 ; 6 321 ; 5 665 ; 9 145 ; 5 983 ; 6 623 ; 7 700 ; 7 463 ;2946;2800;2503;1 533;218;66;129;278;276;323;225;18;24330;57;7;1261;1169;41;51;475.775977501155;478.102299069456;1721;105;1380;33.55;9;18;24;13;8;4;1938;1907;1964;1866;2617;2289;0;0;0;0;0;0;0;0;0;0;0;0;2279;2027;2122;1626;2193;2090;0;0;0;0;0;0
Tenay - Hauteville;1;1017;87743757;1970;5.5016101;45.9222096; 39 904 ; 29 582 ; 21 893 ; 29 469 ; 34 144 ; 34 113 ; 30 560 ; 32 579 ;456;457;422;253;NA;NA;NA;NA;NA;NA;NA;NA;20950;NA;NA;322.574945494902;199.091676440723;65.7902662993575;57.6930027548212;34.655538343989;36.3270040600569;256.935912303633;27.8870226442107;189.321846542068;7.84;2;2;3;6;8;NA;713;870;703;865;641;NA;0;0;0;0;0;0;0;0;0;0;0;0;7406;6329;3500;4427;7725;7394;0;0;0;0;0;0
La Valbonne;1;1027;87723577;1360;5.124911;45.849225; 211 394 ; 158 092 ; 128 045 ; 201 648 ; 180 282 ; 195 194 ; 183 082 ; 187 822 ;2699;2563;2828;967;NA;NA;NA;NA;NA;NA;NA;NA;24870;NA;NA;755.388125530418;709.331495696164;4.09392265193372;41.9627071823206;1840.23017607331;2110.07101157457;1825.63915815538;82.095595244761;1628.92681576901;18.04;4;10;18;9;17;2;2826;2324;2693;3061;3160;4344;0;0;0;0;0;0;0;0;0;0;0;0;10866;9855;10351;8422;10688;10532;0;0;0;0;0;0
Bellignat;1;1031;87743526;1810;5.6298849;46.2381265; 4 219 ; 3 683 ; 3 355 ; 5 373 ; 5 208 ; 7 183 ; 7 693 ; 7 198 ;3905;3652;3646;2 089;509;125;205;362;380;341;142;25;20180;43;19;1839.92026206416;1681.26622962323;27.1117650373736;131.542267403554;2237.47730350789;2068.36312395935;2296.22858220524;248.980959345861;1660.63741424437;7.83;5;7;13;8;11;1;1943;1264;1634;2184;2162;2887;0;0;0;0;0;0;0;0;0;0;0;0;1842;1543;1717;1167;1787;1665;0;0;0;0;0;0
Bellegarde-sur-Valserine;1;1033;87745000;1200;5.823483;46.109425; 1 500 251 ; 1 123 969 ; 775 242 ; 1 305 663 ; 1 151 476 ; 1 352 028 ; 1 359 050 ; 1 419 005 ;16770;16378;15847;9 258;1 834;472;756;1 463;1 572;1 721;1 242;198;23140;45;16;8410.22124457504;7110.0391445812;257.249669694339;1042.9324302995;5724.5445167348;5468.69738728851;10447.2972376388;1253.33482191098;8155.18805846938;62.53;43;84;114;100;54;7;1902;1783;1879;2122;2488;2459;0;0;0;0;0;0;5881;5618;5687;3273;3661;5403;15613;14252;14968;10272;14143;16327;0;0;5;0;0;0
Beynost;1;1043;87723544;1700;5.006969;45.833915; 244 377 ; 176 189 ; 137 011 ; 213 302 ; 198 025 ; 202 058 ; 185 736 ; 181 868 ;4943;4754;4534;2 495;233;78;137;307;464;614;519;143;28090;69;5;2047;1901;24;122;3484.80738886999;3363.6741582606;2958;156;2321;10.64;9;25;33;37;18;2;2794;3115;2675;3640;3711;4075;0;0;0;0;0;0;0;0;0;0;0;0;11167;10130;10634;8452;10690;10535;0;0;0;0;0;0
Cize - Bolozon;1;1051;87743344;1250;5.4540677;46.2134803; 1 145 ; 916 ; 964 ; 1 481 ; 477 ; 586 ; 906 ; 2 132 ;92;91;90;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90.9279026217229;46.0112359550562;40.8333333333333;4.08333333333333;11.1187330649135;7.92248220187465;51.123595505618;8.17977528089888;42.9438202247191;4.92;NA;NA;1;1;NA;NA;NA;NA;1590;850;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;1842;1543;1717;1170;1787;1665;0;0;0;0;0;0
Bourg-en-Bresse;1;1053;87743005;1000;5.215063;46.200351; 1 816 923 ; 1 453 090 ; 1 214 094 ; 1 770 487 ; 1 662 833 ; 1 814 080 ; 1 728 014 ; 1 784 643 ;43363;41111;40490;25 186;6 756;1 509;2 362;4 488;4 825;3 460;1 483;303;19640;45;22;23599.1649080068;20440.7894071288;579.261027338045;2579.11447353999;32206.930430329;31716.8384839913;25165.4896633613;3139.11961681216;17508.5552685515;23.86;123;264;310;299;183;22;1445;1415;1558;1631;2050;2285;0;0;0;0;0;0;5367;4880;4435;3321;3282;4981;13834;12210;12906;11812;12883;13896;0;2;0;0;73;0
Brion - Montréal-la-Cluse;1;1063;87131961;1460;5.5585203;46.1757013; 46 414 ; 34 660 ; 25 344 ; 35 922 ; 32 292 ; 32 521 ; 38 422 ; 44 243 ;577;533;514;310;NA;NA;NA;NA;NA;NA;NA;NA;24690;NA;NA;247.533595691215;230.624533318738;3.17044919483943;13.7386131776375;423.869670125353;414.10588215431;309.566673383769;22.2726671469689;237.008405100893;4.48;NA;2;1;1;1;NA;NA;1757;2433;1900;1000;NA;0;0;0;0;0;0;0;0;0;0;0;0;1842;1543;1717;1169;1787;1665;0;0;0;0;0;0
Ceyzériat;1;1072;87743302;1250;5.3258417;46.1834877; 5 267 ; 3 769 ; 3 169 ; 6 762 ; 4 123 ; 4 694 ; 4 885 ; 4 297 ;3265;3194;3039;1 804;243;68;146;292;378;388;241;48;25010;60;7;1459.82922362611;1330.88362255157;27.1994627266623;101.746138347885;1159.17812494643;1042.35040286951;1907.37786571087;127.684112847853;1488.34942675435;9.36;13;9;14;10;28;1;2027;1938;2015;1699;2196;2616;0;0;0;0;0;0;0;0;0;0;0;0;1842;1544;1718;1170;1788;1665;0;0;0;0;0;0
Seyssel - Corbonod;1;1118;87745828;1420;5.8315162;45.9630307; 77 257 ; 51 029 ; 37 709 ; 65 164 ; 49 537 ; 66 355 ; 57 460 ; 64 114 ;1306;1278;1219;756;NA;NA;NA;NA;NA;NA;NA;NA;26030;NA;NA;713.087420382668;481.319509453236;105.718696213425;126.049214716007;291.528554589284;271.457734165403;778.988000991643;59.7622196685298;548.168246319557;31.59;3;9;7;5;2;NA;2541;1906;1969;2405;2731;NA;0;0;0;0;0;0;0;0;0;0;0;0;5340;4768;5279;4105;5939;6085;0;0;0;0;0;0
Culoz;1;1138;87741074;1350;5.778784;45.843264; 260 917 ; 196 035 ; 151 638 ; 260 868 ; 205 156 ; 230 147 ; 221 698 ; 222 735 ;3048;3004;2986;1 815;420;n.c.;183;325;378;298;105;n.c.;21240;44;12;1566.46117872995;1348.2088480898;62.2210591737267;156.031271466422;1625.81160202526;1853.79225391658;1747.72996864816;168.640288201787;1324.104537174;19.36;9;13;14;21;21;2;1358;1373;1579;1358;1737;1785;0;0;0;0;0;0;0;0;3;0;0;0;11192;10048;10751;8210;11377;11562;0;0;0;0;0;0
Marlieux - Châtillon;1;1235;87723767;1240;5.0731097;46.0638765; 132 752 ; 102 131 ; 78 631 ; 119 224 ; 102 360 ; 106 378 ; 96 291 ; 100 901 ;1266;1159;995;606;NA;NA;NA;NA;NA;NA;NA;NA;23000;NA;NA;535.307684281648;480.687684281648;14.4279245283019;40.1920754716981;175.356821500668;183.253190058364;690.108332510539;45.2180643700528;548.528564225914;16.85;4;7;2;4;1;NA;1358;1941;1835;2777;2677;NA;0;0;0;0;0;0;0;0;0;0;0;0;10363;9004;9535;5905;9083;9760;0;0;0;0;0;0
Meximieux - Pérouges;1;1244;87723585;1800;5.193534;45.901615; 715 335 ; 542 160 ; 460 159 ; 719 403 ; 681 491 ; 714 130 ; 675 399 ; 679 778 ;8141;7923;7424;4 413;674;252;409;729;817;883;572;77;23970;53;9;3678.8586744067;3355.28728575065;78.3285205968534;245.242868059196;2519.31518059822;2264.37763070555;4874.86067464644;378.852221369493;3846.64739490064;13.75;29;47;54;43;34;6;1992;1969;2206;2698;3035;2647;0;0;0;0;0;0;0;0;0;0;0;0;12146;11043;11571;9618;11918;11773;0;0;0;0;0;0
Mézériat;1;1246;87725838;1660;5.046622;46.2350502; 46 871 ; 44 867 ; 40 104 ; 41 775 ; 41 173 ; 42 703 ; 39 153 ; 43 827 ;2244;2217;2140;1 219;159;72;136;223;235;257;121;16;23060;48;NA;1031.8401923687;914.179744922525;14.4495286337413;103.210918812438;331.495929380631;455.732826678219;1335.94677066322;117.358607978915;1030.51520746201;19.17;5;6;5;5;5;1;1871;1579;1527;1759;1760;2818;0;0;0;0;0;0;0;0;0;0;0;0;2088;1894;1975;1652;2195;2097;0;0;0;0;0;0
Mionnay;1;1248;87723726;1390;4.919752;45.8966784; 89 594 ; 63 995 ; 54 101 ; 98 182 ; 90 023 ; 96 332 ; 101 028 ; 100 975 ;2299;2197;2121;1 152;112;28;81;163;187;292;243;46;28350;72;NA;909.087437183205;868.035189309572;15.2045362494937;25.8477116241393;301.940114995646;343.743079367432;1485.5438752784;82.2040089086859;1203.70155902004;19.62;6;18;15;10;4;NA;2675;2939;3114;2756;3842;NA;0;0;0;0;0;0;0;0;0;0;0;0;10395;9197;9717;5988;9146;10256;0;0;0;0;0;0
Miribel;1;1249;87723528;1700;4.953940;45.822088; 301 557 ; 219 382 ; 193 554 ; 305 842 ; 274 363 ; 284 847 ; 270 932 ; 283 043 ;10355;10122;9277;5 836;979;276;423;947;1 106;1 076;860;169;25630;62;9;4572.66157366868;4132.83618448556;42.4392919387218;397.386097244395;5096.53394743566;5102.34925009668;6271.29163796473;435.179542152442;4882.18063460552;24.49;26;56;68;65;30;2;2892;2490;2853;2816;3761;4646;0;0;0;0;0;0;0;0;0;0;0;0;10866;9855;10351;8452;10690;10535;0;0;0;0;0;0
Les Échets;1;1249;87723718;1700;4.9108215;45.8746675; 163 815 ; 114 128 ; 83 453 ; 160 821 ; 146 987 ; 162 984 ; 149 484 ; 142 775 ;10355;10122;9277;5 836;979;276;423;947;1 106;1 076;860;169;25630;62;9;4572.66157366868;4132.83618448556;42.4392919387218;397.386097244395;5096.53394743566;5102.34925009668;6271.29163796473;435.179542152442;4882.18063460552;24.49;26;56;68;65;30;2;2892;2490;2853;2816;3761;4646;0;0;0;0;0;0;0;0;0;0;0;0;10395;9197;9717;5989;9146;10169;0;0;0;0;0;0
Montluel;1;1262;87723569;1120;5.057503;45.847770; 509 152 ; 377 446 ; 326 450 ; 509 568 ; 454 540 ; 490 801 ; 477 480 ; 487 928 ;6944;6886;7074;3 948;626;200;342;727;822;727;444;60;22820;54;13;3259;2964;34;261;2921.66386138494;3047.33256579104;4342;336;3363;40.11;24;51;62;62;45;6;2323;2260;2213;2450;2690;3058;0;0;0;0;0;0;0;0;0;0;0;0;11167;10130;10634;8426;10688;10533;0;0;0;0;0;0
Nurieux-Volognat;1;1267;87743351;1760;5.5327486;46.1842195; 12 645 ; 12 886 ; 9 901 ; 20 701 ; 18 300 ; 22 712 ; 23 201 ; 24 107 ;1035;1025;1025;543;NA;NA;NA;NA;NA;NA;NA;NA;24440;NA;NA;453.956133564616;415.715118765462;14.0887949260042;24.15221987315;423.912213106098;430.756236719778;645.259930733985;44.6419222777132;499.881196863766;19.34;3;5;6;3;4;NA;1641;1182;1770;1833;1351;NA;0;0;0;0;0;0;727;654;674;336;228;711;1842;1545;1717;1169;1787;1665;0;0;0;0;0;0
Oyonnax;1;1283;87743534;1100;5.653338;46.259742; 125 454 ; 108 542 ; 81 885 ; 102 677 ; 89 149 ; 93 231 ; 98 712 ; 103 838 ;22724;22456;22258;12 439;3 059;751;1 288;2 377;2 401;1 832;582;149;17830;39;27;11244.8287861119;9650.85716449351;203.539568420407;1390.43205319799;10372.0684815159;10936.8209302247;13486.8444508095;1692.33070277659;9697.17499454022;36.18;44;96;90;95;41;8;1380;1171;1272;1411;1556;1763;0;0;0;0;0;0;0;0;0;0;0;0;1784;777;862;581;888;813;0;0;0;0;0;0
Polliat;1;1301;87725846;1310;5.1238268;46.24464; 6 999 ; 6 277 ; 4 945 ; 7 407 ; 5 416 ; 6 519 ; 5 775 ; 6 422 ;2667;2547;2424;1 462;157;68;107;245;320;357;182;26;24380;58;NA;1234.35521137357;1096.13828450422;27.6433853738702;110.573541495481;514.876206288923;441.208627484763;1533.98654811211;90.5528934767013;1245.40636497384;20.07;5;9;10;15;10;NA;1250;1750;1895;1941;2470;NA;0;0;0;0;0;0;0;0;0;0;0;0;2088;1894;1975;1652;2195;2097;0;0;0;0;0;0
Pont-d'Ain;1;1304;87743120;1160;5.3343285;46.053961; 31 244 ; 25 236 ; 19 543 ; 26 296 ; 21 678 ; 26 249 ; 24 673 ; 24 354 ;2957;2924;2734;1 633;287;104;158;284;339;306;136;19;22190;48;13;1490.75071464428;1233.5280235988;61.001428706437;196.221262339039;974.693620746069;962.380116597251;1776.27486949703;143.995516224189;1398.66973451327;11.22;6;16;23;15;24;5;1476;1293;1260;1686;1660;1625;0;0;0;0;0;0;0;0;0;0;0;0;2279;2027;2122;1626;2193;2090;0;0;0;0;0;0
Pont-de-Veyle;1;1306;87725804;1290;4.8930347;46.2679114; 53 491 ; 45 046 ; 33 863 ; 43 215 ; 38 597 ; 43 783 ; 42 216 ; 47 317 ;1701;1641;1611;995;NA;NA;NA;NA;NA;NA;NA;NA;21100;NA;NA;867.883861382397;743.898735524273;20.1601830663616;103.824942791762;646.793179596754;820.962318998227;951.871704222562;106.641242744762;758.813049815826;1.94;5;10;14;11;8;3;1399;1389;1432;1582;1216;1603;0;0;0;0;0;0;0;0;0;0;0;0;2277;2058;2148;1653;2195;2097;0;0;0;0;0;0
Pougny - Chancy;1;1308;87745380;1550;5.9613614;46.1446674; 3 911 ; 4 053 ; 4 243 ; 6 067 ; 5 158 ; 3 988 ; 3 502 ; 2 128 ;817;807;815;390;NA;NA;NA;NA;NA;NA;NA;NA;39040;NA;NA;439;339;59;41;42.3788020567885;57.1607906961359;515;27;403;7.77;2;1;1;1;2;NA;3418;2592;3544;5573;2929;NA;0;0;0;0;0;0;0;0;0;0;0;0;4386;4305;4325;948;0;2323;0;0;0;0;0;0
Saint-André-de-Corcy;1;1333;87723734;1390;4.948846;45.925911; 252 233 ; 181 491 ; 147 522 ; 258 339 ; 230 575 ; 250 018 ; 238 906 ; 237 176 ;3425;3369;2926;1 891;188;73;154;308;376;495;268;29;26050;62;NA;1482.49372149061;1407.69973798446;18.4423520974084;56.351631408748;1234.09422147656;1091.13506145307;2089.07298046961;115.479798093084;1611.23431444685;20.73;8;20;13;9;9;NA;2889;2179;3054;2726;2534;NA;0;0;0;0;0;0;0;0;0;0;0;0;10395;9197;9717;5988;9146;10359;0;0;0;0;0;0
Saint-Marcel en Dombes;1;1371;87723742;1390;4.9775148;45.9503701; 70 447 ; 50 927 ; 46 259 ; 74 865 ; 67 676 ; 75 858 ; 70 139 ; 68 233 ;1248;1242;1324;644;NA;NA;NA;NA;NA;NA;NA;NA;25060;NA;NA;536.174926562524;492.851765655168;16.1202459190163;27.2029149883401;107.890310535432;119.862674177345;881.616707567348;52.4533914283512;709.464501098479;11.64;9;6;11;6;10;1;2592;2468;2845;2774;3296;3409;0;0;0;0;0;0;0;0;0;0;0;0;10395;9197;9717;5988;9146;10359;0;0;0;0;0;0
Saint-Martin-du-Mont;1;1374;87743112;1160;5.303003;46.095871; 6 550 ; 5 748 ; 4 761 ; 4 774 ; 3 486 ; 3 849 ; 4 439 ; 3 697 ;1922;1871;1717;1 055;125;48;79;142;221;270;152;18;25360;NA;NA;932.69387901493;798.283567521911;63.1321160042965;71.2781954887219;301.639541383263;288.565751530776;1149.65135414902;61.8862276610332;933.588458531625;28.09;4;4;8;8;5;2;956;2000;1501;1348;2067;1421;0;0;0;0;0;0;0;0;0;0;0;0;2279;2027;2122;1626;2193;2090;0;0;0;0;0;0
Saint-Maurice-de-Beynost;1;1376;87723536;1700;4.976986;45.827421; 208 733 ; 153 652 ; 123 255 ; 198 063 ; 178 954 ; 183 626 ; 157 458 ; 140 685 ;4107;3962;3903;2 284;368;96;193;435;480;454;221;37;23150;55;11;1718.13771208954;1604.00845788934;8.07994720001427;106.049307000187;2067.26240087296;1944.90389442842;2458.3116933497;237.236597199109;1881.98753728773;6.99;6;19;15;16;16;3;2579;2264;2910;2974;3279;2929;0;0;0;0;0;0;0;0;0;0;0;0;10866;9855;10351;8452;10690;10535;0;0;0;0;0;0
